代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="002105"	信隆实业	10.03	6.58	0.60	6.58	--  	212249	205	          0.00	          6.34	6.03	6.58	6.03	5.98	  1087.47	135423424	  3.52	文教休闲	深圳	 9.20	6.38	99073	113176	  0.88	108734	0	--  	      33500.00	
="002167"	东方锆业	10.03	15.25	1.39	15.25	--  	206884	253	          0.00	          6.56	14.15	15.25	14.15	13.86	--  	307778560	  1.30	小金属	广东	 7.94	14.88	109606	97278	  1.13	134585	0	--  	      31540.67	
="300019"	硅宝科技	9.97	14.34	1.30	14.34	--  	138341	67	          0.00	         12.87	13.61	14.34	13.57	13.04	    38.63	197408528	  9.01	化工原料	四川	 5.90	14.27	95601	42740	  2.24	13357	0	--  	      10745.41	
="002522"	浙江众成	7.72	9.77	0.70	9.77	9.78	89585	1425	          0.72	          4.01	9.08	9.85	8.88	9.07	   120.03	85578984	  2.49	塑料	浙江	10.69	9.55	33838	55747	  0.61	205	227	--  	      22336.58	
="002039"	黔源电力	6.91	10.67	0.69	10.66	10.67	97719	997	          0.00	          3.20	9.95	10.97	9.94	9.98	--  	102705176	  3.60	水力发电	贵州	10.32	10.51	39094	58625	  0.67	21	59	--  	      30537.52	
="000980"	金马股份	6.03	5.98	0.34	5.97	5.98	228762	2310	          0.50	          7.22	5.65	6.10	5.65	5.64	    48.77	135943264	  1.08	电器仪表	安徽	 7.98	5.94	104742	124020	  0.84	886	2490	--  	      31700.00	
="002668"	奥马电器	5.37	20.60	1.05	20.52	20.60	35296	3393	          1.77	          4.88	19.55	20.66	19.22	19.55	    14.56	70425120	  1.73	家用电器	广东	 7.37	19.95	14394	20902	  0.69	2	581	--  	       7235.00	
="000859"	国风塑业	5.30	5.56	0.28	5.55	5.56	118235	1928	          0.00	          2.81	5.27	5.78	5.26	5.28	--  	65369440	  1.04	塑料	安徽	 9.85	5.53	49122	69113	  0.71	544	900	--  	      42047.89	
="000738"	中航动控	4.12	15.42	0.61	15.41	15.42	430234	4479	          0.06	          4.56	15.33	15.75	15.03	14.81	    88.21	661080000	  4.74	航空航天	湖南	 4.86	15.37	187344	242890	  0.77	288	707	--  	      94283.85	
="600301"	ST南化	4.11	8.35	0.33	8.34	8.36	49754	7	          0.11	          2.12	8.00	8.42	7.89	8.02	--  	40378352	  1.66	化工原料	广西	 6.61	8.12	20079	29675	  0.68	22	160	--  	      23514.81	
="000576"	广东甘化	4.01	13.50	0.52	13.49	13.50	65212	1569	          0.00	          2.55	12.90	13.53	12.90	12.98	   481.40	86943016	  2.47	综合类	广东	 4.85	13.33	23132	42080	  0.55	16	232	--  	      25616.05	
="002395"	双象股份	3.88	10.99	0.41	10.98	10.99	56960	393	         -0.36	          3.19	10.69	11.20	10.42	10.58	   270.45	62144256	  2.50	塑料	江苏	 7.37	10.91	24055	32905	  0.73	12	215	--  	      17880.59	
="002018"	华星化工	3.86	9.14	0.34	9.13	9.14	221545	3032	          0.32	          4.95	8.85	9.17	8.55	8.80	   113.89	196378112	  1.68	农药化肥	安徽	 7.05	8.86	104233	117312	  0.89	831	1838	--  	      44739.51	
="002133"	广宇集团	3.82	4.35	0.16	4.35	4.36	120485	8086	          0.23	          2.65	4.19	4.40	4.12	4.19	    93.53	51472148	  1.45	全国地产	浙江	 6.68	4.27	52561	67924	  0.77	1170	1521	--  	      45524.98	
="002186"	全 聚 德	3.67	20.35	0.72	20.35	20.36	50564	377	         -0.09	          1.81	19.88	20.40	19.80	19.63	    48.92	102344136	  2.13	酒店餐饮	北京	 3.06	20.24	18753	31811	  0.59	109	99	--  	      28009.88	
="600812"	华北制药	3.66	5.38	0.19	5.37	5.38	141227	14	          0.18	          1.37	5.19	5.44	5.14	5.19	   422.68	74551216	  1.53	化学制药	河北	 5.78	5.28	74894	66333	  1.13	1915	953	--  	     102857.75	
="002291"	星期六	3.63	7.13	0.25	7.12	7.13	66971	2434	          0.84	          1.84	6.96	7.15	6.80	6.88	    38.87	46856040	  1.52	服饰	广东	 5.09	7.00	27226	39745	  0.69	228	167	--  	      36335.00	
="000010"	深华新	3.47	7.45	0.25	7.44	7.45	164904	1427	          0.26	          4.60	7.20	7.70	7.06	7.20	--  	122289520	  1.78	建筑施工	北京	 8.89	7.42	70513	94391	  0.75	13305	2200	--  	      35815.75	
="000708"	大冶特钢	3.30	7.51	0.24	7.50	7.51	83069	613	          0.26	          1.86	7.25	7.59	7.22	7.27	    12.82	61643312	  1.23	特钢	湖北	 5.09	7.42	29129	53940	  0.54	466	363	--  	      44712.57	
="601003"	柳钢股份	3.28	2.52	0.08	2.52	2.53	88314	2	          0.39	          0.34	2.44	2.56	2.43	2.44	    13.67	22118452	  0.90	普钢	广西	 5.33	2.50	36553	51761	  0.71	3	1433	--  	     256279.31	
="600175"	美都控股	3.25	6.68	0.21	6.67	6.68	312949	123	          0.14	          2.17	6.54	6.80	6.46	6.47	--  	208900096	  1.47	全国地产	浙江	 5.26	6.68	135775	177174	  0.77	546	78	--  	     143984.31	
="002516"	江苏旷达	3.24	15.28	0.48	15.27	15.28	84185	947	         -0.26	          7.73	14.90	15.56	14.60	14.80	    22.50	128284296	  1.13	纺织	江苏	 6.49	15.24	39459	44726	  0.88	44	181	--  	      10889.78	
="300081"	恒信移动	3.22	16.66	0.52	16.65	16.66	44269	543	          0.24	          5.23	16.18	16.88	15.90	16.14	--  	72755416	  0.73	通信设备	河北	 6.07	16.43	16644	27625	  0.60	362	82	--  	       8467.04	
="002050"	三花股份	3.15	13.41	0.41	13.40	13.41	46380	171	         -0.22	          0.61	13.00	13.62	12.99	13.00	    21.59	61542724	  0.85	机械基件	浙江	 4.85	13.27	19582	26798	  0.73	330	388	--  	      75871.92	
="600721"	百花村	3.14	9.19	0.28	9.12	9.18	106268	58	         -0.21	          8.86	8.93	9.80	8.81	8.91	--  	99517232	  3.46	焦炭加工	新疆	11.11	9.36	49405	56863	  0.87	46	9	--  	      11995.84	
="000707"	双环科技	2.95	4.88	0.14	4.87	4.88	160095	3120	          0.20	          3.45	4.71	4.92	4.70	4.74	    94.71	77090904	  1.36	化工原料	湖北	 4.64	4.82	78847	81248	  0.97	1751	607	--  	      46414.33	
="600510"	黑牡丹	2.94	6.31	0.18	6.30	6.31	165873	25	          0.00	          2.09	6.20	6.53	6.19	6.13	    14.01	105599472	  2.83	全国地产	江苏	 5.55	6.37	78955	86918	  0.91	424	39	--  	      79552.27	
="600243"	青海华鼎	2.83	7.99	0.22	7.99	8.00	107939	19	         -0.86	          4.56	7.77	8.50	7.77	7.77	--  	88302544	  1.94	机床制造	青海	 9.40	8.18	62186	45753	  1.36	110	274	--  	      23685.00	
="600540"	新赛股份	2.77	6.68	0.18	6.66	6.67	130174	101	          0.00	          4.30	6.49	6.90	6.44	6.50	   173.58	87008224	  2.17	种植业	新疆	 7.08	6.68	62162	68012	  0.91	189	41	--  	      30270.84	
="300337"	银邦股份	2.69	17.20	0.45	17.20	17.21	56371	683	          0.05	          3.78	16.75	17.34	16.66	16.75	    79.13	96267320	  0.89	铝	江苏	 4.06	17.08	31137	25234	  1.23	755	160	--  	      14913.79	
="000626"	如意集团	2.58	9.13	0.23	9.12	9.13	50257	87	         -0.21	          2.48	8.88	9.32	8.88	8.90	    24.11	46003712	  1.79	商贸代理	江苏	 4.94	9.15	22789	27468	  0.83	224	311	--  	      20229.75	
="600888"	新疆众和	2.58	6.37	0.16	6.36	6.37	175375	5	         -0.15	          2.73	6.23	6.67	6.16	6.21	--  	113080352	  1.63	铝	新疆	 8.21	6.45	89016	86359	  1.03	181	104	--  	      64122.58	
="002098"	浔兴股份	2.46	12.50	0.30	12.50	12.54	42361	1119	         -0.31	          2.73	12.19	12.76	12.02	12.20	    18.27	52848944	  1.21	服饰	福建	 6.07	12.48	19250	23111	  0.83	890	61	--  	      15500.00	
="600960"	渤海活塞	2.14	11.47	0.24	11.44	11.47	23655	10	          0.17	          1.12	11.29	11.57	11.07	11.23	    23.79	26840120	  0.84	汽车配件	山东	 4.45	11.35	10344	13311	  0.78	91	208	--  	      21167.05	
="000671"	阳 光 城	2.12	12.06	0.25	12.04	12.06	64441	480	         -0.08	          0.63	11.76	12.26	11.76	11.81	    22.69	77760592	  0.60	区域地产	福建	 4.23	12.07	33929	30512	  1.11	39	258	--  	     102553.81	
="600265"	ST景谷	2.11	10.14	0.21	10.14	10.16	11633	8	         -0.29	          0.90	9.98	10.30	9.93	9.93	--  	11820377	  1.15	林业	云南	 3.73	10.16	5696	5937	  0.96	2	30	--  	      12980.00	
="002648"	卫星石化	2.10	14.61	0.30	14.61	14.62	73226	1618	          0.00	          3.66	14.36	14.70	14.30	14.31	    31.89	106554408	  1.29	化工原料	浙江	 2.80	14.55	34803	38423	  0.91	297	573	--  	      20000.00	
="300305"	裕兴股份	2.06	19.31	0.39	19.31	19.33	6521	75	          0.05	          1.81	19.00	19.45	18.88	18.92	    40.19	12484812	  0.80	塑料	江苏	 3.01	19.15	2295	4226	  0.54	3	54	--  	       3600.00	
="002687"	乔治白	2.05	9.48	0.19	9.48	9.49	32799	2379	          0.53	          4.71	9.25	9.48	9.23	9.29	    29.48	30679798	  1.00	服饰	浙江	 2.69	9.35	13392	19407	  0.69	167	233	--  	       6961.27	
="000524"	东方宾馆	1.94	8.95	0.17	8.94	8.95	39719	177	          0.11	          1.47	8.73	9.09	8.64	8.78	    95.31	35567864	  0.80	酒店餐饮	广东	 5.13	8.95	17464	22255	  0.78	74	8	--  	      26967.16	
="600496"	精工钢构	1.93	7.40	0.14	7.40	7.41	60323	37	          0.00	          1.03	7.24	7.49	7.22	7.26	    18.84	44602720	  1.51	钢加工	安徽	 3.72	7.39	22810	37513	  0.61	31	452	--  	      58656.60	
="002544"	杰赛科技	1.90	11.24	0.21	11.24	11.25	118981	1039	          0.35	          2.35	11.05	11.32	11.01	11.03	   101.86	133397840	  1.42	软件服务	广东	 2.81	11.21	52990	65991	  0.80	680	130	--  	      50635.66	
="002068"	黑猫股份	1.86	6.02	0.11	6.02	6.03	90893	813	          0.16	          1.89	5.91	6.15	5.85	5.91	    48.35	54762312	  0.88	化工原料	江西	 5.08	6.02	45124	45769	  0.99	325	382	--  	      47969.92	
="002119"	康强电子	1.83	11.15	0.20	11.14	11.15	94174	1922	          0.00	          4.85	10.73	11.29	10.58	10.95	  1341.85	103493336	  1.10	半导体	浙江	 6.48	10.99	49845	44329	  1.12	5	1888	--  	      19420.00	
="600552"	方兴科技	1.75	17.99	0.31	17.97	17.99	64267	50	          0.11	          1.88	17.68	18.07	17.57	17.68	    68.37	114746736	  1.93	玻璃	安徽	 2.83	17.85	26770	37497	  0.71	163	20	--  	      34223.94	
="300183"	东软载波	1.66	43.59	0.71	43.59	43.60	22224	47	          0.02	          1.76	42.71	43.85	42.71	42.88	    48.62	96700336	  1.17	软件服务	山东	 2.66	43.51	10172	12052	  0.84	187	20	--  	      12617.49	
="600826"	兰生股份	1.65	17.89	0.29	17.85	17.89	23318	3	          0.67	          0.55	17.60	17.91	17.45	17.60	    91.30	41275272	  0.53	商贸代理	上海	 2.61	17.70	11083	12235	  0.91	239	57	--  	      42064.23	
