代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="600317"	营口港	10.14	3.80	0.35	3.80	--  	3164584	5	          0.00	          9.61	3.43	3.80	3.33	3.45	    33.82	1151192320	  0.93	港口	辽宁	13.62	3.64	1790639	1373945	  1.30	170802	0	--  	     329271.50	
="000036"	华联控股	10.09	3.71	0.34	3.71	--  	883060	905	          0.00	          7.86	3.38	3.71	3.37	3.37	  1662.13	323626016	  2.68	全国地产	深圳	10.09	3.66	581904	301156	  1.93	40866	0	--  	     112388.02	
="002564"	张化机	10.08	6.99	0.64	6.99	--  	1243	10	          0.00	          0.04	6.99	6.99	6.99	6.35	    60.58	869228	  0.04	化工机械	江苏	 0.00	6.99	1192	51	 23.37	231876	0	--  	      35157.53	
="002624"	金磊股份	10.06	8.86	0.81	8.86	--  	1663	1079	          0.00	          0.21	8.86	8.86	8.86	8.05	--  	1473551	  0.10	其他建材	浙江	 0.00	8.86	1118	545	  2.05	188697	0	--  	       7850.00	
="600691"	阳煤化工	10.05	4.82	0.44	4.82	--  	49547	770	          0.00	          0.55	4.82	4.82	4.82	4.38	--  	23881842	  0.54	农药化肥	四川	 0.00	4.82	47740	1807	 26.42	261732	0	--  	      90260.89	
="600490"	鹏欣资源	10.04	12.50	1.14	12.50	--  	475531	20	          0.00	          5.65	11.45	12.50	11.38	11.36	   223.08	574037120	  1.47	化工原料	上海	 9.86	12.07	175419	300112	  0.58	285512	0	--  	      84150.00	
="002183"	怡 亚 通	10.03	9.98	0.91	9.97	9.98	854435	8655	          0.10	          8.66	9.11	9.98	9.11	9.07	    32.33	832950144	  2.61	仓储物流	深圳	 9.59	9.75	392667	461768	  0.85	819	5324	--  	      98612.63	
="601388"	怡球资源	10.02	9.22	0.84	9.22	--  	372154	10	          0.32	         16.72	8.38	9.22	8.36	8.38	   435.54	333729568	  6.28	铝	江苏	10.26	8.97	161888	210266	  0.77	152085	0	--  	      22254.05	
="300270"	中威电子	10.02	20.09	1.83	20.09	--  	18742	4	          0.00	          4.20	20.08	20.09	19.60	18.26	    63.19	37621124	  0.79	通信设备	浙江	 2.68	20.07	6110	12632	  0.48	14767	0	--  	       4459.99	
="300248"	新开普	10.02	23.28	2.12	23.28	--  	66848	42	          0.00	          7.84	21.25	23.28	21.12	21.16	  1623.59	152719120	  2.21	软件服务	河南	10.21	22.85	34799	32049	  1.09	5972	0	--  	       8526.40	
="300188"	美亚柏科	10.02	29.54	2.69	29.54	--  	90415	59	          0.00	          7.43	26.91	29.54	26.88	26.85	   189.61	261697664	  2.00	软件服务	福建	 9.91	28.94	47874	42541	  1.13	886	0	--  	      12167.95	
="600184"	光电股份	10.02	31.30	2.85	31.30	--  	69056	2	          0.00	          5.87	28.55	31.30	28.55	28.45	   236.66	210714688	  2.85	玻璃	湖北	 9.67	30.51	30522	38534	  0.79	349	0	--  	      11765.11	
="002280"	新世纪	10.01	34.28	3.12	34.28	--  	56040	408	          0.00	          9.69	30.71	34.28	30.71	31.16	--  	185591536	  1.81	软件服务	浙江	11.46	33.12	25220	30820	  0.82	791	0	--  	       5785.60	
="002581"	万昌科技	10.01	35.71	3.25	35.71	--  	248436	188	          0.00	         21.96	35.00	35.71	34.52	32.46	    49.12	880074240	 25.25	化工原料	山东	 3.67	35.42	152127	96309	  1.58	28193	0	--  	      11314.66	
="000948"	南天信息	10.01	11.43	1.04	11.43	--  	65660	10	          0.00	          2.84	10.41	11.43	10.41	10.39	--  	73580648	  1.16	软件服务	云南	 9.82	11.21	47779	17881	  2.67	49678	0	--  	      23113.83	
="300216"	千山药机	10.01	25.50	2.32	25.50	--  	11320	3	          0.00	          0.94	25.50	25.50	25.50	23.18	   160.91	28867122	  0.15	医疗保健	湖南	 0.00	25.50	10357	963	 10.75	14412	0	--  	      12047.29	
