代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	
="002172"	澳洋科技	10.10	5.67	0.52	5.67	--  	287472	1191	          0.00	          5.37	5.15	5.67	5.13	5.15	   153.41	156737376	  1.70	化纤	江苏	10.49	
="002180"	万 力 达	10.02	13.62	1.24	13.62	--  	2951	28	          0.00	          0.34	13.62	13.62	13.62	12.38	   439.62	4019548	  0.40	电气设备	广东	 0.00	
="000856"	冀东装备	10.00	7.81	0.71	7.81	--  	445925	78	          0.00	         33.76	7.00	7.81	6.88	7.10	--  	340605792	  1.55	机械基件	河北	13.10	
="300127"	银河磁体	6.95	24.48	1.59	24.45	24.48	34618	1010	          0.32	          3.12	22.91	25.18	22.90	22.89	    71.56	83745752	  2.29	元器件	四川	 9.96	
="002547"	春兴精工	6.68	13.25	0.83	13.24	13.25	86618	822	          0.22	          4.96	12.42	13.30	12.42	12.42	   119.62	111880712	  1.71	通信设备	江苏	 7.09	
="600192"	长城电工	6.11	8.69	0.50	8.68	8.69	180839	1	          0.11	          5.29	8.50	8.99	8.44	8.19	    45.92	157139392	  2.38	电气设备	甘肃	 6.72	
="002189"	利达光电	6.02	9.34	0.53	9.34	9.35	157265	2256	         -0.10	          7.89	8.81	9.69	8.74	8.81	   956.73	147152000	  3.02	元器件	河南	10.78	
="002201"	九鼎新材	4.48	8.62	0.37	8.61	8.62	50951	911	         -0.23	          3.05	8.23	8.75	8.19	8.25	   175.27	43568088	  2.10	玻璃	江苏	 6.79	
="600715"	松辽汽车	4.20	6.95	0.28	6.94	6.95	27834	10	         -0.14	          1.24	6.62	6.97	6.62	6.67	--  	19065180	  1.73	汽车配件	辽宁	 5.25	
="002082"	栋梁新材	3.95	8.43	0.32	8.42	8.43	52056	2282	          0.47	          2.92	8.10	8.43	8.07	8.11	    20.58	43243008	  1.95	铝	浙江	 4.44	
="002533"	金杯电工	3.62	7.73	0.27	7.72	7.73	153646	1821	          0.00	          5.01	7.79	7.90	7.58	7.46	    25.46	118460176	  2.74	电气设备	湖南	 4.29	
="000801"	四川九洲	3.62	15.18	0.53	15.18	15.19	29576	565	         -0.06	          0.64	14.57	15.28	14.57	14.65	   105.25	44590688	  0.58	通信设备	四川	 4.85	
="002636"	金安国纪	3.15	9.50	0.29	9.50	9.51	74649	2001	          0.52	          8.38	9.21	9.51	9.16	9.21	    72.55	69776176	  1.77	元器件	上海	 3.80	
="300354"	东华测试	3.14	21.00	0.64	21.00	21.05	15756	441	          0.33	          7.32	20.38	21.10	20.38	20.36	    82.68	32735656	  0.57	电器仪表	江苏	 3.54	
="002287"	奇正藏药	2.90	23.10	0.65	23.09	23.10	7111	397	          0.26	          0.18	22.50	23.10	22.49	22.45	    46.19	16282055	  0.93	中成药	西藏	 2.72	
="002468"	艾迪西	2.79	10.30	0.28	10.29	10.30	138085	3594	          0.58	          4.99	9.93	10.45	9.76	10.02	   423.64	140492800	  0.83	其他建材	浙江	 6.89	
="002084"	海鸥卫浴	2.74	5.63	0.15	5.63	5.64	80301	1686	          0.17	          1.98	5.48	5.63	5.39	5.48	    68.22	44625340	  1.34	家居用品	广东	 4.38	
="600746"	江苏索普	2.73	7.14	0.19	7.13	7.14	116974	156	         -0.41	          3.84	7.05	7.38	7.05	6.95	    97.34	84390432	  1.13	化工原料	江苏	 4.75	
="600328"	兰太实业	2.72	8.31	0.22	8.32	8.33	97955	34	          0.00	          2.73	8.08	8.33	8.03	8.09	    56.14	80779424	  0.73	化工原料	内蒙	 3.71	
="000759"	中百集团	2.62	7.83	0.20	7.82	7.83	34755	313	          0.12	          0.51	7.63	7.85	7.63	7.63	    46.05	26944488	  1.09	超市连锁	湖北	 2.88	
="000727"	华东科技	2.46	5.42	0.13	5.41	5.42	73016	760	          0.18	          2.04	5.30	5.46	5.28	5.29	--  	39401012	  1.07	元器件	江苏	 3.40	
