代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本	
="600666"	西南药业	10.03	17.22	1.57	17.22	--  	820568	7	          0.00	         28.28	17.00	17.22	16.53	15.65	    95.65	1400998400	 27.57	化学制药	重庆	 4.41	17.07	428949	391619	  1.10	20444	0	--  	      29014.63	
="002593"	日上集团	10.03	11.08	1.01	11.08	--  	162851	291	          0.00	         12.48	10.06	11.08	9.95	10.07	    51.86	176783616	  6.40	汽车配件	福建	11.22	10.86	81061	81790	  0.99	12577	0	--  	      13043.91	
="002364"	中恒电气	10.03	21.51	1.96	21.51	--  	96418	24	          0.00	          4.87	19.94	21.51	19.94	19.55	    58.63	203809328	  2.91	电气设备	浙江	 8.03	21.14	34205	62213	  0.55	1100	0	--  	      19789.05	
="300033"	同花顺	10.02	24.37	2.22	24.37	--  	113735	280	          0.00	          8.74	22.48	24.37	22.00	22.15	   257.68	269257376	  2.18	软件服务	浙江	10.70	23.67	40730	73005	  0.56	3828	0	--  	      13013.05	
="002043"	兔 宝 宝	10.02	5.27	0.48	5.27	--  	619148	12952	          0.19	         14.06	4.77	5.27	4.67	4.79	--  	306398912	  1.31	其他建材	浙江	12.53	4.95	302448	316700	  0.95	11382	0	--  	      44048.10	
="600476"	湘邮科技	10.01	19.35	1.76	19.35	--  	140566	5	          0.00	          8.73	17.99	19.35	17.76	17.59	--  	262607744	  1.12	软件服务	湖南	 9.04	18.68	74990	65576	  1.14	9943	0	--  	      16107.00	
="000922"	佳电股份	10.00	16.28	1.48	16.28	--  	690584	1688	          0.00	         23.14	14.45	16.28	14.45	14.80	    42.42	1079233152	  3.37	电气设备	黑龙江	12.36	15.63	314233	376351	  0.83	9450	0	--  	      29843.50	
="300278"	华昌达	10.00	18.81	1.71	18.81	--  	238406	112	          0.00	         30.32	17.88	18.81	17.00	17.10	   243.32	436348960	  2.51	专用机械	湖北	10.58	18.30	123709	114697	  1.08	4023	0	--  	       7862.50	
="002581"	万昌科技	9.99	20.15	1.83	20.15	--  	178	10	          0.00	          0.02	20.15	20.15	20.15	18.32	    27.72	360040	  0.01	化工原料	山东	 0.00	20.15	162	16	 10.13	78885	0	--  	      11314.66	
="000612"	焦作万方	9.99	9.80	0.89	9.80	--  	235925	1084	          0.00	          2.02	9.80	9.80	9.80	8.91	    54.90	231206608	  5.12	铝	河南	 0.00	9.80	229516	6409	 35.81	152759	0	--  	     116898.15	
="002405"	四维图新	9.98	19.40	1.76	19.40	--  	624667	4479	          0.00	          9.86	17.76	19.40	17.76	17.64	   114.41	1178946048	  2.97	软件服务	北京	 9.30	18.87	345387	279280	  1.24	62546	0	--  	      63353.62	
="002569"	步森股份	9.97	12.46	1.13	12.46	--  	1186	1	          0.00	          0.09	12.46	12.46	12.46	11.33	   106.64	1478865	  0.06	服饰	浙江	 0.00	12.46	1135	51	 22.25	93039	0	--  	      13788.37	
="600715"	松辽汽车	9.97	14.23	1.29	14.23	--  	6272	39	          0.00	          0.28	14.23	14.23	14.23	12.94	--  	8925398	  2.90	汽车配件	辽宁	 0.00	14.23	5579	693	  8.05	85849	0	--  	      22425.59	
="600190"	锦州港	9.93	4.87	0.44	4.87	--  	485607	20	          0.00	          3.63	4.42	4.87	4.39	4.43	    35.00	230902256	  4.92	港口	辽宁	10.84	4.75	217436	268171	  0.81	6969	0	--  	     133898.05	
="600240"	华业地产	9.40	6.05	0.52	6.02	6.05	422101	32	          2.02	          2.96	5.53	6.08	5.47	5.53	    31.45	240024160	  1.70	全国地产	北京	11.03	5.69	175500	246601	  0.71	531	1702	--  	     142425.34	
="601222"	林洋电子	7.82	26.90	1.95	26.88	26.89	66078	3	          0.18	          1.88	24.97	27.10	24.97	24.95	    35.34	173424896	  2.42	电器仪表	江苏	 8.54	26.25	24933	41145	  0.61	97	5	--  	      35194.73	
="600792"	云煤能源	7.47	11.80	0.82	11.81	11.84	196557	29	          1.02	         15.57	11.79	11.97	11.37	10.98	  2043.01	228058624	  6.94	焦炭加工	云南	 5.46	11.60	77861	118696	  0.66	4	101	--  	      12622.50	
="600375"	华菱星马	7.30	12.94	0.88	12.94	12.96	333937	6	          0.31	          6.71	12.09	13.11	12.08	12.06	    37.85	422060736	  1.56	汽车整车	安徽	 8.54	12.64	140362	193575	  0.73	21	376	--  	      49788.89	
="300092"	科新机电	7.28	19.15	1.30	19.13	19.15	70615	392	         -0.41	         13.95	17.56	19.64	17.48	17.85	--  	133941936	  4.20	专用机械	四川	12.10	18.97	36794	33821	  1.09	5	237	--  	       5060.85	
="002562"	兄弟科技	7.25	14.20	0.96	14.19	14.20	64515	3547	          1.35	          8.79	13.25	14.20	13.25	13.24	   119.64	88372248	  2.32	化工原料	浙江	 7.18	13.70	25565	38950	  0.66	266	1140	--  	       7338.29	
="600990"	四创电子	7.05	34.79	2.29	34.79	34.80	51554	5	         -0.31	          3.77	32.55	35.67	32.40	32.50	--  	177494160	  1.99	通信设备	安徽	10.06	34.43	21118	30436	  0.69	51	72	--  	      13670.20	
="000913"	钱江摩托	6.89	6.98	0.45	6.97	6.98	131365	2132	          0.72	          2.90	6.54	7.08	6.51	6.53	   149.87	89461592	  2.43	摩托车	浙江	 8.73	6.81	56288	75077	  0.75	38	325	--  	      45343.62	
="000402"	金 融 街	6.83	6.57	0.42	6.57	6.58	1152030	11780	          0.45	          3.81	6.50	6.70	6.36	6.15	    18.57	752334400	  5.29	全国地产	北京	 5.53	6.53	539914	612116	  0.88	1737	5862	--  	     302439.31	
="300081"	恒信移动	6.81	16.16	1.03	16.16	16.17	87452	666	          0.18	         10.33	15.20	16.58	14.86	15.13	--  	137627136	  1.51	通信设备	河北	11.37	15.74	36739	50713	  0.72	11	10	--  	       8467.04	
="000910"	大亚科技	6.73	6.98	0.44	6.97	6.98	160962	1451	          0.00	          3.05	6.50	7.00	6.47	6.54	    38.16	109958632	  1.34	家居用品	江苏	 8.10	6.83	52341	108621	  0.48	124	282	--  	      52750.00	
="002058"	威 尔 泰	6.62	12.08	0.75	12.07	12.08	55897	2733	          0.83	          3.90	11.41	12.09	11.30	11.33	--  	65619228	  1.69	电器仪表	上海	 6.97	11.74	18856	37041	  0.51	64	199	--  	      14330.19	
